route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
06240824-MI,20240830,20240830-MI-2722,MI - Union Station,,1,38A,MLUN,1,2,
06240824-LE,20240830,20240830-LE-9019,LE - Union Station,,1,24A,OSUN,1,1,
06240824-LW,20240830,20240830-LW-1731,LW - West Harbour GO,,0,27A,UNWR,1,1,
06240824-GT,20240830,20240830-GT-3531,KI - Mount Pleasant GO,,0,60P,UNMO,1,1,
06240824-LE,20240830,20240830-LE-9128,LE - Durham College Oshawa GO,,0,03A,UNOS,1,2,
06240824-GT,20240830,20240830-GT-3858,KI - Union Station,,1,55A,KIUN,1,2,
06240824-GT,20240830,20240830-GT-3935,KI - Kitchener GO,,0,53P,UNKI,1,1,
06240824-GT,20240830,20240830-GT-3320,KI - Union Station,,1,02P,BEUN,1,1,
06240824-ST,20240830,20240830-ST-7707,ST - Union Station,,1,45A,LIUN,1,2,
06240824-LE,20240830,20240830-LE-X9129,LE - Union Station,,1,58P,OSUN,1,1,
06240824-LE,20240830,20240830-LE-9021,LE - Union Station,,1,27A,OSUN,1,1,
06240824-LE,20240830,20240830-LE-9233,LE - Union Station,,1,03A,OSUN,1,1,
06240824-BR,20240830,20240830-BR-6606,BR - Union Station,,1,62A,ADUN,1,2,
06240824-ST,20240830,20240830-ST-7420,ST - Mount Joy GO,,0,52P,UNMJ,1,1,
06240824-RH,20240830,20240830-RH-5208,RH - Union Station,,1,42A,BMUN,1,2,
06240824-LW,20240830,20240830-LW-1028,LW - Union Station,,1,03A,ALUN,1,1,
06240824-LW,20240830,20240830-LW-1732,LW - Union Station,,1,22A,WRUN,1,1,
06240824-LW,20240830,20240830-LW-1709,LW - West Harbour GO,,0,27A,UNWR,1,1,
06240824-ST,20240830,20240830-ST-7709,ST - Union Station,,1,47A,LIUN,1,2,
06240824-ST,20240830,20240830-ST-7423,ST - Union Station,,1,07A,MJUN,1,1,
06240824-BR,20240830,20240830-BR-6927,BR - Allandale Waterfront GO,,0,54P,UNAD,1,2,
06240824-MI,20240830,20240830-MI-2726,MI - Union Station,,1,39A,MLUN,1,1,
06240824-ST,20240830,20240830-ST-7824,ST - Old Elm GO,,0,42P,UNLI,1,2,
06240824-GT,20240830,20240830-GT-3860,KI - Union Station,,1,59A,KIUN,1,2,
06240824-LE,20240830,20240830-LE-9310,LE - Durham College Oshawa GO,,0,22A,UNOS,1,1,
06240824-GT,20240830,20240830-GT-3126,KI - Union Station,,1,25P,BEUN,1,1,
06240824-GT,20240830,20240830-GT-3209,KI - Bramalea GO,,0,47A,UNBE,1,1,
06240824-RH,20240830,20240830-RH-5329,RH - Bloomington GO,,0,67P,UNBM,1,1,
06240824-GT,20240830,20240830-GT-3334,KI - Union Station,,1,62P,BEUN,1,1,
06240824-LE,20240830,20240830-LE-9004,LE - Durham College Oshawa GO,,0,01A,UNOS,1,1,
06240824-MI,20240830,20240830-MI-2741,MI - Milton GO,,0,64P,UNML,1,2,
06240824-ST,20240830,20240830-ST-7412,ST - Mount Joy GO,,0,47A,UNMJ,1,1,
06240824-LE,20240830,20240830-LE-9035,LE - Union Station,,1,19P,OSUN,1,1,
06240824-LW,20240830,20240830-LW-1127,LW - Oakville GO,,0,39P,UNOA,1,2,
06240824-BR,20240830,20240830-BR-6912,BR - Union Station,,1,68A,ADUN,1,1,
06240824-LE,20240830,20240830-LE-9007,LE - Union Station,,1,23A,OSUN,1,2,
06240824-LW,20240830,20240830-LW-1258,LW - Union Station,,1,21A,ALUN,1,2,
06240824-LE,20240830,20240830-LE-9324,LE - Durham College Oshawa GO,,0,26A,UNOS,1,2,
06240824-LW,20240830,20240830-LW-1736,LW - Union Station,,1,27A,WRUN,1,1,
06240824-LW,20240830,20240830-LW-1033,LW - Aldershot GO,,0,28A,UNAL,1,1,
06240824-ST,20240830,20240830-ST-7418,ST - Mount Joy GO,,0,07A,UNMJ,1,1,
06240824-LE,20240830,20240830-LE-9208,LE - Durham College Oshawa GO,,0,17A,UNOS,1,1,
06240824-LE,20240830,20240830-LE-9116,LE - Durham College Oshawa GO,,0,28A,UNOS,1,1,
06240824-LE,20240830,20240830-LE-9239,LE - Union Station,,1,23A,OSUN,1,1,
06240824-BR,20240830,20240830-BR-6332,BR - Union Station,,1,44P,AUUN,1,1,
06240824-GT,20240830,20240830-GT-3110,KI - Union Station,,1,25A,BEUN,1,2,
06240824-LW,20240830,20240830-LW-1015,LW - Aldershot GO,,0,17A,UNAL,1,1,
06240824-GT,20240830,20240830-GT-3877,KI - Kitchener GO,,0,37P,UNKI,1,2,
06240824-ST,20240830,20240830-ST-7638,ST - Old Elm GO,,0,67P,UNLI,1,1,
06240824-GT,20240830,20240830-GT-3414,KI - Union Station,,1,43A,MOUN,1,1,
06240824-LW,20240830,20240830-LW-1738,LW - Union Station,,1,03A,WRUN,1,1,
06240824-LE,20240830,20240830-LE-X9036,LE - Durham College Oshawa GO,,0,14P,UNOS,1,1,
06240824-LW,20240830,20240830-LW-1715,LW - West Harbour GO,,0,21A,UNWR,1,1,
06240824-LW,20240830,20240830-LW-1016,LW - Union Station,,1,28A,ALUN,1,1,
06240824-BR,20240830,20240830-BR-6920,BR - Union Station,,1,06A,ADUN,1,1,
06240824-GT,20240830,20240830-GT-3128,KI - Union Station,,1,50A,BEUN,1,1,
06240824-LE,20240830,20240830-LE-9112,LE - Durham College Oshawa GO,,0,23A,UNOS,1,1,
06240824-LW,20240830,20240830-LW-1011,LW - Aldershot GO,,0,28A,UNAL,1,1,
06240824-LW,20240830,20240830-LW-1875,LW - Hamilton GO Centre,,0,04P,UNHA,1,2,
06240824-LE,20240830,20240830-LE-9009,LE - Union Station,,1,26A,OSUN,1,2,
06240824-LW,20240830,20240830-LW-1721,LW - West Harbour GO,,0,28A,UNWR,1,1,
06240824-GT,20240830,20240830-GT-3521,KI - Mount Pleasant GO,,0,67P,UNMO,1,1,
06240824-LE,20240830,20240830-LE-X9236,LE - Durham College Oshawa GO,,0,34P,UNOS,1,1,
06240824-GT,20240830,20240830-GT-3432,KI - Union Station,,1,58P,MOUN,1,1,
06240824-ST,20240830,20240830-ST-7435,ST - Union Station,,1,39P,MJUN,1,1,
06240824-LE,20240830,20240830-LE-9224,LE - Durham College Oshawa GO,,0,47A,UNOS,1,2,
06240824-ST,20240830,20240830-ST-7439,ST - Union Station,,1,63P,MJUN,1,1,
06240824-LW,20240830,20240830-LW-X1436,LW - Union Station,,1,34P,EXUN,1,1,
06240824-LE,20240830,20240830-LE-9118,LE - Durham College Oshawa GO,,0,12A,UNOS,1,1,
06240824-GT,20240830,20240830-GT-3836,KI - Union Station,,1,31P,KIUN,1,1,
06240824-LE,20240830,20240830-LE-9223,LE - Union Station,,1,12A,OSUN,1,1,
06240824-GT,20240830,20240830-GT-3207,KI - Bramalea GO,,0,31A,UNBE,1,1,
06240824-RH,20240830,20240830-RH-5327,RH - Bloomington GO,,0,32P,UNBM,1,2,
06240824-ST,20240830,20240830-ST-7622,ST - Old Elm GO,,0,06A,UNLI,1,1,
06240824-LW,20240830,20240830-LW-1722,LW - Union Station,,1,23A,WRUN,1,1,
06240824-ST,20240830,20240830-ST-7436,ST - Mount Joy GO,,0,62P,UNMJ,1,1,
06240824-LE,20240830,20240830-LE-9011,LE - Union Station,,1,28A,OSUN,1,2,
06240824-GT,20240830,20240830-GT-3035,KI - Bramalea GO,,0,67P,UNBE,1,1,
06240824-LE,20240830,20240830-LE-9309,LE - Union Station,,1,13A,OSUN,1,2,
06240824-LW,20240830,20240830-LW-1075,LW - Aldershot GO,,0,55P,UNAL,1,2,
06240824-BR,20240830,20240830-BR-6313,BR - Aurora GO,,0,57A,UNAU,1,1,
06240824-LW,20240830,20240830-LW-1256,LW - Union Station,,1,04A,ALUN,1,2,
06240824-LW,20240830,20240830-LW-1018,LW - Union Station,,1,12A,ALUN,1,1,
06240824-LE,20240830,20240830-LE-9140,LE - Durham College Oshawa GO,,0,19P,UNOS,1,1,
06240824-GT,20240830,20240830-GT-3519,KI - Mount Pleasant GO,,0,10P,UNMO,1,1,
06240824-LE,20240830,20240830-LE-9025,LE - Union Station,,1,04P,OSUN,1,1,
06240824-LE,20240830,20240830-LE-9206,LE - Durham College Oshawa GO,,0,12A,UNOS,1,1,
06240824-LE,20240830,20240830-LE-9237,LE - Union Station,,1,65P,OSUN,1,1,
06240824-LW,20240830,20240830-LW-1325,LW - Oakville GO,,0,67P,UNOA,1,2,
06240824-MI,20240830,20240830-MI-2727,MI - Milton GO,,0,56P,UNML,1,2,
06240824-LW,20240830,20240830-LW-1775,LW - West Harbour GO,,0,19P,UNWR,1,2,
06240824-LW,20240830,20240830-LW-1858,LW - Union Station,,1,19A,HAUN,1,2,
06240824-BR,20240830,20240830-BR-6314,BR - Union Station,,1,61A,AUUN,1,1,
06240824-GT,20240830,20240830-GT-3923,KI - Kitchener GO,,0,02P,UNKI,1,2,
06240824-LW,20240830,20240830-LW-1726,LW - Union Station,,1,28A,WRUN,1,1,
06240824-LW,20240830,20240830-LW-1023,LW - Aldershot GO,,0,03A,UNAL,1,1,
06240824-GT,20240830,20240830-GT-3627,KI - Georgetown GO,,0,51P,UNGE,1,2,
06240824-BR,20240830,20240830-BR-6908,BR - Union Station,,1,66A,ADUN,1,2,
06240824-GT,20240830,20240830-GT-3031,KI - Bramalea GO,,0,63P,UNBE,1,1,
06240824-LW,20240830,20240830-LW-1040,LW - Union Station,,1,19P,ALUN,1,1,
06240824-LE,20240830,20240830-LE-9026,LE - Durham College Oshawa GO,,0,14P,UNOS,1,2,
06240824-LE,20240830,20240830-LE-9229,LE - Union Station,,1,24A,OSUN,1,1,
06240824-LW,20240830,20240830-LW-1005,LW - Aldershot GO,,0,21A,UNAL,1,1,
06240824-LE,20240830,20240830-LE-9314,LE - Durham College Oshawa GO,,0,27A,UNOS,1,1,
06240824-MI,20240830,20240830-MI-2739,MI - Milton GO,,0,33P,UNML,1,2,
06240824-GT,20240830,20240830-GT-3312,KI - Union Station,,1,48A,BEUN,1,1,
06240824-LW,20240830,20240830-LW-X1333,LW - Oakville GO,,0,14P,UNOA,1,1,
06240824-ST,20240830,20240830-ST-7624,ST - Old Elm GO,,0,16P,UNLI,1,2,
06240824-LW,20240830,20240830-LW-X1326,LW - Union Station,,1,18P,OAUN,1,1,
06240824-LW,20240830,20240830-LW-1728,LW - Union Station,,1,19P,WRUN,1,1,
